K,Inertia,Silhouette_Score
2,9712.11198458538,0.4797371426678192
3,6186.186896660014,0.45148421778387754
4,4148.482541469009,0.4722013989143837
5,3111.4022247508806,0.44372955800640207
6,2562.928443079085,0.4396542768385991
7,2204.448174453668,0.4501055217681971
8,1863.2141988855678,0.4246865085651632
