Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8421349040274871
Decision Tree,0.7913413768630234,0.6342281879194631,0.5053475935828877,0.5625,0.834482936784727
Random Forest,0.7821149751596878,0.6143344709897611,0.48128342245989303,0.5397301349325337,0.8194864243457594
